created_at,id,id_str,full_text,truncated,display_text_range,entities,extended_entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang
Sun Mar 24 23:30:59 +0000 2019,1109960835848384512,1109960835848384512,NDP Jagmeet Singh politics is about LOVE KINDNESS HOPE EMPATHY COURAGE &amp; Republican Trudeau &amp; Scheer is the politics of HATE ANGER FEAR that s there politics so 2019 VOTE FOR LOVE &amp; KINDNESS VOTE NDP Jagmeet Singh FOR PRIME MINISTER OF CANADA https://t.co/nhUoUky4RL,False,"[0, 278]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nhUoUky4RL', 'expanded_url': 'http://www.ndp.ca', 'display_url': 'ndp.ca', 'indices': [255, 278]}]}",,"{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,"{'id': 980209426853519360, 'id_str': '980209426853519360', 'name': 'Genesio Paciocco', 'screen_name': 'genesiofb33', 'location': 'Sault Ste. Marie, Ontario', 'description': 'I m a SOCIALIST I belong to the NDP party of Canada and Ontario I ve been a NDP member for 44yrs to present', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 567, 'friends_count': 4999, 'listed_count': 2, 'created_at': 'Sat Mar 31 22:25:13 +0000 2018', 'favourites_count': 4, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3732, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/980223570612649984/PFrHmdfK_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/980223570612649984/PFrHmdfK_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,,False,,,,0,1,False,False,False,en
Sun Mar 24 17:24:55 +0000 2019,1109868709084971008,1109868709084971008,RT @Alwin_Tompkins: @stocat1 @postition @adriearsenault if Gerald Butts And Justin Trudeau can’t make this right I can gauren damn tee you…,False,"[0, 139]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Alwin_Tompkins', 'name': 'Alwin Ästopher Tompkins', 'id': 972659629623738370, 'id_str': '972659629623738370', 'indices': [3, 18]}, {'screen_name': 'stocat1', 'name': 'Cathryn.', 'id': 22530661, 'id_str': '22530661', 'indices': [20, 28]}, {'screen_name': 'postition', 'name': 'penny thompson', 'id': 28464616, 'id_str': '28464616', 'indices': [29, 39]}, {'screen_name': 'adriearsenault', 'name': 'Adrienne Arsenault', 'id': 31738292, 'id_str': '31738292', 'indices': [40, 55]}], 'urls': []}",,"{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 779833229427679232, 'id_str': '779833229427679232', 'name': 'Tabitha kitten', 'screen_name': 'imwiththeband9', 'location': 'British Columbia, Canada', 'description': ""Claim to fame, blocked by butts!  tweets, likes, comments not my real view, lol,  Twitter seems very managed.  I'm a conservative girl with common sense."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 720, 'friends_count': 1254, 'listed_count': 24, 'created_at': 'Sun Sep 25 00:01:45 +0000 2016', 'favourites_count': 16698, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 21085, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1106207189385920512/Kofe87i8_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1106207189385920512/Kofe87i8_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/779833229427679232/1481772597', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,"{'created_at': 'Sun Mar 24 04:57:54 +0000 2019', 'id': 1109680719213801472, 'id_str': '1109680719213801472', 'full_text': '@stocat1 @postition @adriearsenault if Gerald Butts And Justin Trudeau can’t make this right I can gauren damn tee you Jagmeet Singh will win and carry out the will of the overwhelming majority in Canada. We want a complete gun ban, we want proportional representation&amp;we want children to have the vote. They matter', 'truncated': False, 'display_text_range': [36, 319], 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stocat1', 'name': 'Cathryn.', 'id': 22530661, 'id_str': '22530661', 'indices': [0, 8]}, {'screen_name': 'postition', 'name': 'penny thompson', 'id': 28464616, 'id_str': '28464616', 'indices': [9, 19]}, {'screen_name': 'adriearsenault', 'name': 'Adrienne Arsenault', 'id': 31738292, 'id_str': '31738292', 'indices': [20, 35]}], 'urls': []}, 'metadata': {'iso_language_code': 'en', 'result_type': 'recent'}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': 1109679877102292992, 'in_reply_to_status_id_str': '1109679877102292992', 'in_reply_to_user_id': 22530661, 'in_reply_to_user_id_str': '22530661', 'in_reply_to_screen_name': 'stocat1', 'user': {'id': 972659629623738370, 'id_str': '972659629623738370', 'name': 'Alwin Ästopher Tompkins', 'screen_name': 'Alwin_Tompkins', 'location': 'Climate Change', 'description': 'I ACKNOWLEDGE THAT I TWEET ON UNCEDED TRIBAL LANDS. Writer, Major News Contributer, Person of Climate. Exposer of the Deep Province.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 153, 'friends_count': 339, 'listed_count': 7, 'created_at': 'Sun Mar 11 02:25:01 +0000 2018', 'favourites_count': 5896, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 12738, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1042048681984315392/vJ9v0W1A_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1042048681984315392/vJ9v0W1A_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/972659629623738370/1529293506', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 5, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,,,,1,0,False,False,,en
Sun Mar 24 13:41:39 +0000 2019,1109812523346415617,1109812523346415617,RT @NeoLibertarian_: Canada is currently dealing with the Canadian version of the 2016 election except everyone running is Hillary Clinton.…,False,"[0, 140]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NeoLibertarian_', 'name': 'Ted Edmonson 🏳️\u200d🌈', 'id': 947913812371496961, 'id_str': '947913812371496961', 'indices': [3, 19]}], 'urls': []}",,"{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 832426915646562306, 'id_str': '832426915646562306', 'name': 'ishabad #NeverBernie', 'screen_name': 'ishabad', 'location': 'Washington, DC', 'description': 'Former Paid Fellow @DavidTBlair, Former DC Intern @SenSchumer, and Former DO Intern @SenBlumenthal. All views are my own.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 370, 'friends_count': 1151, 'listed_count': 3, 'created_at': 'Fri Feb 17 03:10:17 +0000 2017', 'favourites_count': 40300, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 39699, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1094011251695456256/SnMqwcfL_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1094011251695456256/SnMqwcfL_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/832426915646562306/1553218276', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,"{'created_at': 'Sun Mar 24 13:38:02 +0000 2019', 'id': 1109811611408175105, 'id_str': '1109811611408175105', 'full_text': 'Canada is currently dealing with the Canadian version of the 2016 election except everyone running is Hillary Clinton.\n\nAndrew Scheer = flotus/2008 Hillary\nJagmeet Singh = what she protrayed herself as\nJustin Trudeau = 2016 Hillary in actuality\n\nI feel so bad for Canada.', 'truncated': False, 'display_text_range': [0, 271], 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'metadata': {'iso_language_code': 'en', 'result_type': 'recent'}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 947913812371496961, 'id_str': '947913812371496961', 'name': 'Ted Edmonson 🏳️\u200d🌈', 'screen_name': 'NeoLibertarian_', 'location': 'Waterbury, CT', 'description': ""Policy Wonk & Political Analyst.  Likes are not endorsements. Gay. O'Malley 2016 alumni."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 205, 'friends_count': 641, 'listed_count': 3, 'created_at': 'Mon Jan 01 19:33:59 +0000 2018', 'favourites_count': 6236, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 652, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1110005470637494277/LFamY5eH_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1110005470637494277/LFamY5eH_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/947913812371496961/1552248351', 'profile_link_color': '000000', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 1, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,,,,1,0,False,False,,en
Sun Mar 24 13:38:02 +0000 2019,1109811611408175105,1109811611408175105,"Canada is currently dealing with the Canadian version of the 2016 election except everyone running is Hillary Clinton.

Andrew Scheer = flotus/2008 Hillary
Jagmeet Singh = what she protrayed herself as
Justin Trudeau = 2016 Hillary in actuality

I feel so bad for Canada.",False,"[0, 271]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 947913812371496961, 'id_str': '947913812371496961', 'name': 'Ted Edmonson 🏳️\u200d🌈', 'screen_name': 'NeoLibertarian_', 'location': 'Waterbury, CT', 'description': ""Policy Wonk & Political Analyst.  Likes are not endorsements. Gay. O'Malley 2016 alumni."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 205, 'friends_count': 641, 'listed_count': 3, 'created_at': 'Mon Jan 01 19:33:59 +0000 2018', 'favourites_count': 6236, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 652, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1110005470637494277/LFamY5eH_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1110005470637494277/LFamY5eH_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/947913812371496961/1552248351', 'profile_link_color': '000000', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,,False,,,,1,1,False,False,,en
Sun Mar 24 06:07:43 +0000 2019,1109698288528310273,1109698288528310273,NDP Jagmeet Singh politic is about LOVE HOPE EMPATHY GENEROSITY KINDNESS COURAGE DIGNITY mean while Republcian Scheer &amp; Trudeau their politics is  ANGER HATE FEAR MONGERING PERIOD We need the politics of LOVE &amp; KINDNESS VOTE NDP Jagmeet Singh as our next PRIME MINISTER OF CANADA,False,"[0, 287]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,"{'id': 980209426853519360, 'id_str': '980209426853519360', 'name': 'Genesio Paciocco', 'screen_name': 'genesiofb33', 'location': 'Sault Ste. Marie, Ontario', 'description': 'I m a SOCIALIST I belong to the NDP party of Canada and Ontario I ve been a NDP member for 44yrs to present', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 567, 'friends_count': 4999, 'listed_count': 2, 'created_at': 'Sat Mar 31 22:25:13 +0000 2018', 'favourites_count': 4, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3732, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/980223570612649984/PFrHmdfK_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/980223570612649984/PFrHmdfK_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,,False,,,,0,0,False,False,,en
Sun Mar 24 04:57:54 +0000 2019,1109680719213801472,1109680719213801472,"@stocat1 @postition @adriearsenault if Gerald Butts And Justin Trudeau can’t make this right I can gauren damn tee you Jagmeet Singh will win and carry out the will of the overwhelming majority in Canada. We want a complete gun ban, we want proportional representation&amp;we want children to have the vote. They matter",False,"[36, 319]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stocat1', 'name': 'Cathryn.', 'id': 22530661, 'id_str': '22530661', 'indices': [0, 8]}, {'screen_name': 'postition', 'name': 'penny thompson', 'id': 28464616, 'id_str': '28464616', 'indices': [9, 19]}, {'screen_name': 'adriearsenault', 'name': 'Adrienne Arsenault', 'id': 31738292, 'id_str': '31738292', 'indices': [20, 35]}], 'urls': []}",,"{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1109679877102292992,1109679877102292992,22530661,22530661,stocat1,"{'id': 972659629623738370, 'id_str': '972659629623738370', 'name': 'Alwin Ästopher Tompkins', 'screen_name': 'Alwin_Tompkins', 'location': 'Climate Change', 'description': 'I ACKNOWLEDGE THAT I TWEET ON UNCEDED TRIBAL LANDS. Writer, Major News Contributer, Person of Climate. Exposer of the Deep Province.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 153, 'friends_count': 339, 'listed_count': 7, 'created_at': 'Sun Mar 11 02:25:01 +0000 2018', 'favourites_count': 5896, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 12738, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1042048681984315392/vJ9v0W1A_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1042048681984315392/vJ9v0W1A_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/972659629623738370/1529293506', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,,False,,,,1,5,False,False,,en
Sun Mar 24 03:13:33 +0000 2019,1109654456499650561,1109654456499650561,NDP Jagmeet Singh is politics is all about LOVE COMPASSION KINDNESS HOPE COURAGE the other two banana head Republicans Trudeau &amp; Scheer their politics is about ANGER FEAR HATE you have a clear choice peace in love VOTE NDP Jagmeet Singh has our next PRIME MINISTER OF CANADA !!!,False,"[0, 282]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,"{'id': 980209426853519360, 'id_str': '980209426853519360', 'name': 'Genesio Paciocco', 'screen_name': 'genesiofb33', 'location': 'Sault Ste. Marie, Ontario', 'description': 'I m a SOCIALIST I belong to the NDP party of Canada and Ontario I ve been a NDP member for 44yrs to present', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 567, 'friends_count': 4999, 'listed_count': 2, 'created_at': 'Sat Mar 31 22:25:13 +0000 2018', 'favourites_count': 4, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3732, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/980223570612649984/PFrHmdfK_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/980223570612649984/PFrHmdfK_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,,False,,,,0,0,False,False,,en
Sat Mar 23 19:05:22 +0000 2019,1109531600302137346,1109531600302137346,"@simonplittle Voting public should keep these things mind when they vote for @jkenney or Andrew Scheer, these two and the conservatives are big supporters of these racist Yellow Vests Canada.",False,"[14, 191]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'simonplittle', 'name': 'Simon Little', 'id': 1325453720, 'id_str': '1325453720', 'indices': [0, 13]}, {'screen_name': 'jkenney', 'name': 'Jason Kenney', 'id': 21525682, 'id_str': '21525682', 'indices': [77, 85]}], 'urls': []}",,"{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1109082613564624896,1109082613564624896,1325453720,1325453720,simonplittle,"{'id': 326544358, 'id_str': '326544358', 'name': 'b.p singh', 'screen_name': 'i3825u', 'location': 'Earth', 'description': 'Curious Human,  Proud pet Parent, Political  junkie,  Sports nut and always live and let live guy!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 64, 'friends_count': 146, 'listed_count': 10, 'created_at': 'Thu Jun 30 02:48:31 +0000 2011', 'favourites_count': 22320, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 21125, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/503076970163232768/zKFUxfVo_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/503076970163232768/zKFUxfVo_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/326544358/1408777870', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,,False,,,,0,0,False,False,,en
Sat Mar 23 18:03:03 +0000 2019,1109515920844705792,1109515920844705792,"OK Canada so in next election we have PM Justin ""don't prosecute my friends"" Trudeau, and in 2nd place CPC Mr Andrew ""Facts don't matter"" Scheer. 3rd  NDP Mr. Jagmeet ""Cant't condemn Sikh terrorists"" Singh We are truly ffffng screwed #cdnpoli",False,"[0, 242]","{'hashtags': [{'text': 'cdnpoli', 'indices': [234, 242]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,"{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,"{'id': 406294981, 'id_str': '406294981', 'name': 'The Political Petard', 'screen_name': 'PoliticalPetard', 'location': 'Where the Earth gets an enema', 'description': 'Slayer of Words & Grammar, Pain in the Ass to Government, Tweets are my own, unless I can blame someone else. 2015 Shorty Award Nominee,', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2519, 'friends_count': 2201, 'listed_count': 65, 'created_at': 'Sun Nov 06 14:26:18 +0000 2011', 'favourites_count': 4512, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 48674, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'ABB8C2', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme6/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme6/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/680733428258476032/0-NM_Knn_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/680733428258476032/0-NM_Knn_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/406294981/1502115116', 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'A0C5C7', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,,False,,,,0,0,False,False,,en
Sat Mar 23 14:34:27 +0000 2019,1109463422779965442,1109463422779965442,"VIDEO: Jagmeet Singh calls for national public inquiry into Justin Trudeau, SNC-Lavalin affair #Canada #JustinTrudeau #Corruption https://t.co/2qhEtfm8dH",False,"[0, 153]","{'hashtags': [{'text': 'Canada', 'indices': [95, 102]}, {'text': 'JustinTrudeau', 'indices': [103, 117]}, {'text': 'Corruption', 'indices': [118, 129]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2qhEtfm8dH', 'expanded_url': 'https://thedailydefender.com/world/jagmeet-singh-calls-for-national-public-inquiry-into-justin-trudeau/', 'display_url': 'thedailydefender.com/world/jagmeet-…', 'indices': [130, 153]}]}",,"{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://www.thedailydefender.com"" rel=""nofollow"">Twitter Utility</a>",,,,,,"{'id': 863543801889120258, 'id_str': '863543801889120258', 'name': 'The Daily Defender', 'screen_name': 'Daily_Defender', 'location': 'United States of America', 'description': ""Real news done right. It's that simple."", 'url': 'https://t.co/PxvIIGxMB4', 'entities': {'url': {'urls': [{'url': 'https://t.co/PxvIIGxMB4', 'expanded_url': 'http://TheDailyDefender.com', 'display_url': 'TheDailyDefender.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 7170, 'friends_count': 7349, 'listed_count': 14, 'created_at': 'Sat May 13 23:57:41 +0000 2017', 'favourites_count': 136, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3473, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1102071760835481600/_sqRVama_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1102071760835481600/_sqRVama_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/863543801889120258/1551589369', 'profile_link_color': 'D21026', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,,False,,,,1,1,False,False,False,en
